x,y,color,delta,value,
50.0102,-2.968400000000016,#f7f4f9,0.05,0.00011193323599882918,
50.0102,-2.918400000000016,#f7f4f9,0.05,0.0001202059606879519,
50.0102,-2.8684000000000163,#f7f4f9,0.05,0.0001197181257176202,
50.0102,-2.8184000000000164,#f7f4f9,0.05,0.00011659745448629808,
50.0102,-2.7684000000000166,#f7f4f9,0.05,0.00011125851854701716,
50.0102,-2.718400000000017,#f7f4f9,0.05,0.00010311681790100741,
50.0102,-2.668400000000017,#f7f4f9,0.05,0.00009784245341763073,
50.0102,-2.618400000000017,#f7f4f9,0.05,0.00009225666023958102,
50.0102,-2.5684000000000173,#f7f4f9,0.05,0.00008850959079051193,
50.0102,-2.5184000000000175,#f7f4f9,0.05,0.00008623061835832695,
50.0102,-2.4684000000000177,#f7f4f9,0.05,0.00008946448625270544,
50.0102,-2.418400000000018,#f7f4f9,0.05,0.0000885560328385978,
50.0102,-2.368400000000018,#f7f4f9,0.05,0.00008829122676750068,
50.0102,-2.3184000000000182,#f7f4f9,0.05,0.000088509273142462,
50.0102,-2.2684000000000184,#f7f4f9,0.05,0.00008543357729851716,
50.0102,-2.2184000000000186,#f7f4f9,0.05,0.00008352349805219148,
50.0102,-2.1684000000000188,#f7f4f9,0.05,0.00007875557844037348,
50.0102,-2.118400000000019,#f7f4f9,0.05,0.00007382720750145257,
50.0102,-2.068400000000019,#f7f4f9,0.05,0.00007464967619180346,
50.0102,-2.0184000000000193,#f7f4f9,0.05,0.00006941180640789229,
50.0102,-1.9684000000000192,#f7f4f9,0.05,0.00006708944400216299,
50.0102,-1.9184000000000192,#f7f4f9,0.05,0.00006624291092879067,
50.0102,-1.8684000000000192,#f7f4f9,0.05,0.00006252234786670778,
50.0102,-1.8184000000000191,#f7f4f9,0.05,0.00006552716528805027,
50.0102,-1.768400000000019,#f7f4f9,0.05,0.000068107086543617,
50.0102,-1.718400000000019,#f7f4f9,0.05,0.00006767072468810326,
50.0102,-1.668400000000019,#f7f4f9,0.05,0.00007216673053442774,
50.0102,-1.618400000000019,#f7f4f9,0.05,0.00007228504635421092,
50.0102,-1.568400000000019,#f7f4f9,0.05,0.00006932403449209783,
50.0102,-1.5184000000000188,#f7f4f9,0.05,0.00006408295159076207,
50.0102,-1.4684000000000188,#f7f4f9,0.05,0.00006138866771012679,
50.0102,-1.4184000000000188,#f7f4f9,0.05,0.00005372282179456097,
50.0102,-1.3684000000000187,#f7f4f9,0.05,0.00004560027661974264,
