x,y,color,delta,value,
24.3471,141.89000000000067,#f7f4f9,0.09,0.00003473772029373189,
24.3471,141.98000000000067,#f7f4f9,0.09,0.000029751024698255048,
24.3471,142.07000000000068,#f7f4f9,0.09,0.00002448430016906685,
24.3471,142.16000000000068,#f7f4f9,0.09,0.00002397865180688505,
24.3471,142.25000000000068,#f7f4f9,0.09,0.00001771665238463514,
24.3471,142.34000000000069,#f7f4f9,0.09,0.000011547178146839187,
24.3471,142.4300000000007,#f7f4f9,0.09,0.000005307147344562806,
24.3471,142.5200000000007,#f7f4f9,0.09,0,
24.3471,142.6100000000007,#f7f4f9,0.09,0,
24.3471,142.7000000000007,#f7f4f9,0.09,0,
24.3471,142.7900000000007,#f7f4f9,0.09,0,
24.3471,142.8800000000007,#f7f4f9,0.09,0,
24.3471,142.9700000000007,#f7f4f9,0.09,0,
24.3471,143.0600000000007,#f7f4f9,0.09,0,
24.3471,143.15000000000072,#f7f4f9,0.09,0,
24.3471,143.24000000000072,#f7f4f9,0.09,0,
24.3471,143.33000000000072,#f7f4f9,0.09,0,
24.3471,143.42000000000073,#f7f4f9,0.09,0.000005298717665893642,
24.3471,143.51000000000073,#f7f4f9,0.09,0,
24.3471,143.60000000000073,#f7f4f9,0.09,0,
24.3471,143.69000000000074,#f7f4f9,0.09,0,
24.3471,143.78000000000074,#f7f4f9,0.09,0,
24.3471,143.87000000000074,#f7f4f9,0.09,0,
24.3471,143.96000000000075,#f7f4f9,0.09,0.0000054838214580075645,
24.3471,144.05000000000075,#f7f4f9,0.09,0.000005960387749558484,
24.3471,144.14000000000075,#f7f4f9,0.09,0.000006300891259585863,
24.3471,144.23000000000076,#f7f4f9,0.09,0.00000647836958170887,
24.3471,144.32000000000076,#f7f4f9,0.09,0.00001211357171021203,
24.3471,144.41000000000076,#f7f4f9,0.09,0.000012203115757108976,
24.3471,144.50000000000077,#f7f4f9,0.09,0.000011972931018170823,
24.3471,144.59000000000077,#f7f4f9,0.09,0.000011440949975368735,
24.3471,144.68000000000077,#f7f4f9,0.09,0.0000057405299712370285,
24.3471,144.77000000000078,#f7f4f9,0.09,0.0000053802601108043055,
24.3471,144.86000000000078,#f7f4f9,0.09,0,
24.3471,144.95000000000078,#f7f4f9,0.09,0,
24.3471,145.0400000000008,#f7f4f9,0.09,0,
24.3471,145.1300000000008,#f7f4f9,0.09,0,
24.3471,145.2200000000008,#f7f4f9,0.09,0,
24.3471,145.3100000000008,#f7f4f9,0.09,0,
24.3471,145.4000000000008,#f7f4f9,0.09,0,
24.3471,145.4900000000008,#f7f4f9,0.09,0,
24.4371,124.16,#f7f4f9,0.09,0.00004200777203613856,
24.4371,124.25,#f7f4f9,0.09,0.00004275037512639782,
24.4371,124.34,#f7f4f9,0.09,0.000037209000089154455,
24.4371,124.43,#f7f4f9,0.09,0.00003610991680792169,
24.4371,124.52000000000001,#f7f4f9,0.09,0.00003477997962373418,
24.4371,124.61000000000001,#f7f4f9,0.09,0.000024029388889145875,
24.4371,124.70000000000002,#f7f4f9,0.09,0.000023947573992423537,
24.4371,124.79000000000002,#f7f4f9,0.09,0.000012817337550847604,
24.4371,124.88000000000002,#f7f4f9,0.09,0.000012837447368381263,
24.4371,124.97000000000003,#f7f4f9,0.09,0.0000392740906812912,
24.4371,125.06000000000003,#f7f4f9,0.09,0.0001249945586129362,
24.4371,125.15000000000003,#f7f4f9,0.09,0.00020078040566998508,
24.4371,125.24000000000004,#f7f4f9,0.09,0.00015528546051172515,
24.4371,125.33000000000004,#f7f4f9,0.09,0.00013934272996686726,
24.4371,125.42000000000004,#f7f4f9,0.09,0.00007911390303566262,
24.4371,125.51000000000005,#f7f4f9,0.09,0.00006078159196775512,
24.4371,125.60000000000005,#f7f4f9,0.09,0.0000274920085798652,
24.4371,125.69000000000005,#f7f4f9,0.09,0.0000062551815006111055,
24.4371,125.78000000000006,#f7f4f9,0.09,0.000006451252886497681,
24.4371,125.87000000000006,#f7f4f9,0.09,0.0000064711949197506405,
24.4371,125.96000000000006,#f7f4f9,0.09,0.000006313368817848433,
24.4371,126.05000000000007,#f7f4f9,0.09,0.000005990652177053113,
24.4371,126.14000000000007,#f7f4f9,0.09,0.000005528703669590865,
24.4371,126.23000000000008,#f7f4f9,0.09,0.000005294463319671386,
24.4371,126.32000000000008,#f7f4f9,0.09,0.000005808104155381421,
24.4371,126.41000000000008,#f7f4f9,0.09,0.00000619702306084983,
24.4371,126.50000000000009,#f7f4f9,0.09,0.0000064308457552785734,
24.4371,126.59000000000009,#f7f4f9,0.09,0.000011922261955815696,
24.4371,126.68000000000009,#f7f4f9,0.09,0.000017562998628497416,
24.4371,126.7700000000001,#f7f4f9,0.09,0.00001767127215728011,
24.4371,126.8600000000001,#f7f4f9,0.09,0.00001732158227479946,
24.4371,126.9500000000001,#f7f4f9,0.09,0.000006260174766971952,
24.4371,127.0400000000001,#f7f4f9,0.09,0.000006051205361383486,
24.4371,127.13000000000011,#f7f4f9,0.09,0.000005688969305963325,
24.4371,127.22000000000011,#f7f4f9,0.09,0,
24.4371,127.31000000000012,#f7f4f9,0.09,0,
24.4371,127.40000000000012,#f7f4f9,0.09,0,
24.4371,127.49000000000012,#f7f4f9,0.09,0,
24.4371,127.58000000000013,#f7f4f9,0.09,0,
24.4371,127.67000000000013,#f7f4f9,0.09,0,
24.4371,127.76000000000013,#f7f4f9,0.09,0,
24.4371,127.85000000000014,#f7f4f9,0.09,0,
24.4371,127.94000000000014,#f7f4f9,0.09,0,
24.4371,128.03000000000014,#f7f4f9,0.09,0,
24.4371,128.12000000000015,#f7f4f9,0.09,0,
24.4371,128.21000000000015,#f7f4f9,0.09,0,
24.4371,128.30000000000015,#f7f4f9,0.09,0,
24.4371,128.39000000000016,#f7f4f9,0.09,0,
24.4371,128.48000000000016,#f7f4f9,0.09,0,
24.4371,128.57000000000016,#f7f4f9,0.09,0,
24.4371,128.66000000000017,#f7f4f9,0.09,0,
24.4371,128.75000000000017,#f7f4f9,0.09,0,
24.4371,128.84000000000017,#f7f4f9,0.09,0,
24.4371,128.93000000000018,#f7f4f9,0.09,0,
24.4371,129.02000000000018,#f7f4f9,0.09,0,
24.4371,129.11000000000018,#f7f4f9,0.09,0,
24.4371,129.2000000000002,#f7f4f9,0.09,0,
24.4371,129.2900000000002,#f7f4f9,0.09,0,
24.4371,129.3800000000002,#f7f4f9,0.09,0,
24.4371,129.4700000000002,#f7f4f9,0.09,0,
24.4371,129.5600000000002,#f7f4f9,0.09,0,
24.4371,129.6500000000002,#f7f4f9,0.09,0,
24.4371,129.7400000000002,#f7f4f9,0.09,0,
24.4371,129.8300000000002,#f7f4f9,0.09,0,
24.4371,129.92000000000021,#f7f4f9,0.09,0,
24.4371,130.01000000000022,#f7f4f9,0.09,0,
24.4371,130.10000000000022,#f7f4f9,0.09,0,
24.4371,130.19000000000023,#f7f4f9,0.09,0,
24.4371,130.28000000000023,#f7f4f9,0.09,0,
24.4371,130.37000000000023,#f7f4f9,0.09,0,
24.4371,130.46000000000024,#f7f4f9,0.09,0,
24.4371,130.55000000000024,#f7f4f9,0.09,0,
24.4371,130.64000000000024,#f7f4f9,0.09,0,
24.4371,130.73000000000025,#f7f4f9,0.09,0.000005630797725492403,
24.4371,130.82000000000025,#f7f4f9,0.09,0.00000606373045976634,
24.4371,130.91000000000025,#f7f4f9,0.09,0.0000063510585157198675,
24.4371,131.00000000000026,#f7f4f9,0.09,0.000006469766465728479,
24.4371,131.09000000000026,#f7f4f9,0.09,0.000006410137705765336,
24.4371,131.18000000000026,#f7f4f9,0.09,0.000006177067946815658,
24.4371,131.27000000000027,#f7f4f9,0.09,0.000005789401404139648,
24.4371,131.36000000000027,#f7f4f9,0.09,0.000005277414549921303,
24.4371,131.45000000000027,#f7f4f9,0.09,0,
24.4371,131.54000000000028,#f7f4f9,0.09,0,
24.4371,131.63000000000028,#f7f4f9,0.09,0,
24.4371,131.72000000000028,#f7f4f9,0.09,0,
24.4371,131.8100000000003,#f7f4f9,0.09,0,
24.4371,131.9000000000003,#f7f4f9,0.09,0,
24.4371,131.9900000000003,#f7f4f9,0.09,0,
